Config,Lat_ms,Lat_std_ms,Mem_f32_KB,Mem_int8_KB
SGD,0.07332965999239605,0.02410333072950383,149.3984375,37.349609375
SGD+Mom(0.9),0.07384058999605259,0.034563085044140955,149.3984375,37.349609375
Adam,0.058423309990303096,0.011956869652885003,149.3984375,37.349609375
EMA-SGD β=0.7,0.05499402999021186,0.004858565635852728,149.3984375,37.349609375
EMA-SGD β=0.8,0.05941202999565576,0.008912197074059163,149.3984375,37.349609375
EMA-SGD β=0.9,0.06417139998120547,0.010697648311466903,149.3984375,37.349609375
